[Tue Jun 22 09:46:20.670374 2021] [core:error] [pid 26:tid 140093310367488] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:20.677327 2021] [core:error] [pid 26:tid 140093301974784] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.670977 2021] [core:error] [pid 26:tid 140093268403968] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.671127 2021] [core:error] [pid 26:tid 140093276796672] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.685549 2021] [core:error] [pid 26:tid 140093260011264] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.697487 2021] [core:error] [pid 26:tid 140092748318464] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.829533 2021] [core:error] [pid 26:tid 140092756711168] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.843222 2021] [core:error] [pid 26:tid 140092739925760] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.844611 2021] [core:error] [pid 25:tid 140093293582080] [client 192.168.192.1:56378] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.852191 2021] [core:error] [pid 26:tid 140093285189376] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.853988 2021] [core:error] [pid 26:tid 140092773496576] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.864490 2021] [core:error] [pid 26:tid 140092731533056] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.881324 2021] [core:error] [pid 26:tid 140092228232960] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.882040 2021] [core:error] [pid 26:tid 140092723140352] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.896408 2021] [core:error] [pid 26:tid 140092219840256] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:22.896519 2021] [core:error] [pid 26:tid 140092236625664] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
